gene_id	gene_name	L1_P25558_101_S30	L1_P25558_102_S31	L1_P25558_103_S32	L1_P25558_104_S33	L1_P25558_106_S35	L2_P24120_101	L2_P24120_102	L2_P24120_104	L2_P24120_105	L2_P24120_106	L3_P24120_103_S130	L3_P24120_103_S51
gene-ACSL5	ACSL5	395906.108	1102.999	3416.606	2415.001	98886.009	1797	7148.908	244058.015	3073.567	0	62059.087	169479.777
gene-ACSL6	ACSL6	113	8330.323	862	10752.056	56	6410.158	2037.694	87	13074.176	1	13.001	61
gene-ACSM3	ACSM3	305	361	309	923.208	65	428.119	731.996	429	1804.374	0	129	323
gene-ACSS1	ACSS1	35626.99	8224.787	5594	5938.806	10265	8422.426	13613.601	34979.737	9500.977	1	6861.287	18918.899
gene-ACSS2	ACSS2	8122.912	3566.44	2701.628	2405.085	5205.012	3283.519	6589.904	20886.829	3957.079	0	5011.708	14127.266
gene-ACSS3	ACSS3	645	4161.003	6728.863	6879.972	618	3191.874	7049.046	2525.627	5296.918	0	1212.436	3442
gene-ACTA1	ACTA1	0	48378.48	21	113645.856	8.009	26834.249	12	6.001	218717.978	0	0	1.001
gene-ACTA2	ACTA2	22791.746	6933.989	2828	8686.618	4481	5600.948	7168.258	6475.018	33520.986	1	1552	4129.866
gene-ACTB	ACTB	841894.153	30279.282	41776.336	58726.953	203034.058	35717.215	102682.396	396629.1	103601.203	0	87032.246	234260.678
gene-ACTBL2	ACTBL2	8.02	4146.039	1.013	9822.298	0	8599.336	5.024	21.121	48391.132	1	2.036	10.222
gene-ACTC1	ACTC1	0	217.028	11	137.014	0	406.005	25	2	186.002	0	1.001	4.001
gene-ACTG1	ACTG1	452871.058	31985.398	17574.049	59319.364	129821.226	33007.413	55976.232	257853.962	165448.905	6	37962.818	102547.117
gene-ACTG2	ACTG2	130209.719	3107.392	103.009	6546.084	19783.001	3136.787	245	10501.72	29721.167	0	2362.999	6345.234
gene-ACTL10	ACTL10	0	2	2	0	6	1	5	0	0	0	6	14
gene-ACTL6A	ACTL6A	1356.376	1944.836	1465.99	844.005	375	1735.839	2378.681	2548.089	762.186	0	903.994	2354.213
gene-ACTL6B	ACTL6B	128.943	0	2	0	10	0	4	92	0	0	10	28
gene-ACTL7A	ACTL7A	0	71	82	23	24	22	91	6	0	0	34	92
gene-ACTL7B	ACTL7B	14	53	45	5	6	18	92	12	1	0	10	34
gene-ACTL8	ACTL8	0	0	1	0	0	0	1	0	0	0	0	0
gene-ACTN1	ACTN1	1998.896	5839.801	2727.654	2802.813	4298	3154.394	9219.247	11963.127	3794.465	0	2569.107	6655.957
gene-ACTN2	ACTN2	369	325635.72	92	169662.09	140	262677.79	351	135.002	287792.771	5	22	63
gene-ACTN3	ACTN3	63	315	23	15752.453	32	418	88	38	31809.288	0	5	16
gene-ACTN4	ACTN4	120695.861	2686.746	28024.892	1961.447	61911.365	6844.346	93364.307	218988.926	2939.941	0	37647.337	102845.03
gene-ACTR10	ACTR10	9472.731	7241.802	4535.578	2970.195	1430	10819.068	11704.681	10302.644	4135.632	0	1955	5290.29
gene-ACTR1A	ACTR1A	34136.308	9219.392	9104.581	6054.662	11288	9179.525	19491.33	37052.504	8312.075	0	8798.957	24824.429
gene-ACTR1B	ACTR1B	2022.207	3240.274	2750	2143.001	1104	3726.501	8157.154	2996.292	3279.098	0	618	1762.135
gene-ACTR2	ACTR2	24061.874	12423.846	19095.653	8265.795	15862.887	9747.133	32787.583	44250.954	7728.488	0	16951.49	46476.873
gene-ACTR3	ACTR3	55610.427	7599.643	11667.089	3995.895	16753.988	7081.508	21797.985	52239.784	3437.369	1	14715.865	40891.68
gene-ACTR3B	ACTR3B	100	703.248	694.999	504.001	30	910	2099.618	442	700.984	0	85	229
gene-ACTR5	ACTR5	167	259.8	472.111	228.091	289.722	216	700.609	849.106	159.662	0	368.011	1032.637
gene-ACTR6	ACTR6	401	3020.382	2014.508	1736.005	496	945	1338.031	834.898	864.745	0	618	1607.193
gene-ACTR8	ACTR8	2203.583	1935.902	1251.029	978.999	708	2471.915	3419.569	3131.863	1498.565	0	679.103	1808.456
gene-ACTRT2	ACTRT2	0	0	2	0	0	0	4	0	0	0	0	0
gene-ACTRT3	ACTRT3	34	144	111	130	20	159	229	67	155	0	19	70
gene-ACVR1	ACVR1	5702.94	2508	3035.921	1365	2921	1714.21	4095.606	3036.458	1339.273	0	1086	2962.46
gene-ACVR1B	ACVR1B	5910.217	1459.473	10444.185	687.887	4744.301	1629.172	29246.164	10574.775	904.494	0	2568.667	7111.156
gene-ACVR1C	ACVR1C	17	1473.002	1542.909	398	176	572.905	648.114	179	55	0	258	791
gene-ACVR2A	ACVR2A	4423.015	3639	4531.892	1594.013	2428.004	1491.952	2948.51	5404.01	740.115	0	2835	7232.993
gene-ACVR2B	ACVR2B	17	720	110	176	50	299	271	137	195	0	30	80
gene-ACVRL1	ACVRL1	206	1466.999	869	974	375	2356.097	2165.78	737.972	1410.989	0	138	370
gene-ACY1	ACY1	15448.862	246	10132	431	6397	307	33736.197	15150.231	803.798	0	2240	6084
gene-ACY3	ACY3	1241	0	2108.634	0	444	0	10112.308	270.003	0	0	24	55
gene-ACYP1	ACYP1	510.281	363.118	523.734	219.799	67.005	442.193	1332.149	657.428	398.158	0	96.4	310.871
gene-ACYP2	ACYP2	357	1208.983	306	1792.349	33	2429	735	286	2877.401	0	81	185
gene-ADA	ADA	31688.586	193	35	1650.001	6127	249	132	27841.312	2165.712	0	5155.273	14001.234
gene-ADAD1	ADAD1	0	0	2	0	0	0	6	0	0	0	0	0
gene-ADAD2	ADAD2	0	0	0	0	0	0	0	0	0	0	0	0
gene-ADAL	ADAL	1000.658	775	660	216	318	973.756	1596.894	1451.916	304.787	0	302.013	917.007
gene-ADAM10	ADAM10	10669.427	8652.088	7167.433	3934.956	7211.999	4642.141	7174.144	14569.138	2784.455	0	6873.971	18475.834
gene-ADAM11	ADAM11	8	5	27	5	21	6	265	25	13	0	9	29
gene-ADAM12	ADAM12	0	2	1	4	5	0	1	0	3	0	1	2
gene-ADAM15	ADAM15	1766.014	1487	2386.004	940	1055	2638	9945.551	5363.512	2076.896	0	755	1843
gene-ADAM17	ADAM17	1266	1273	1338	1021.078	1210	1032.949	2612.524	2031.424	1095.422	0	681	1909.608
gene-ADAM19	ADAM19	764	185	99	323	424	274	452	521	473	0	135	314
gene-ADAM21	ADAM21	0	28.477	48.305	6.675	15.374	15.205	41.434	2.127	5	0	14.437	41.24
gene-ADAM22	ADAM22	0	97	765.005	156.001	68	39	310	46	108	0	30	105
gene-ADAM23	ADAM23	1606.033	19	8	179	851	59	40	634.001	172	0	205	602
gene-ADAM28	ADAM28	411	0	13	7	243	0	33	47	5	0	25	67
gene-ADAM29	ADAM29	0	0	1	0	0	0	1	0	0	0	0	0
gene-ADAM32	ADAM32	0	14	7	2	7	0	2	3	0	0	5	11
gene-ADAM33	ADAM33	59	26	2	187	71	28	12	40	277.363	0	6	17
gene-ADAM7	ADAM7	5	0	0	0	1	0	1	0	0	0	4	15
gene-ADAM8	ADAM8	43	186	169	91	45	270	755	441	114.689	0	65	170
gene-ADAM9	ADAM9	1425.189	11920.54	6568.081	8614.962	1744	5683.377	9783.373	5589.527	7235.195	0	2596.029	7054.204
gene-ADAMDEC1	ADAMDEC1	50220.037	3	1369	172.001	17638.94	2	970.922	74521.408	166	0	26431.498	70630.538
gene-ADAMTS1	ADAMTS1	3593.803	773	1508	5626.126	1856.889	653.442	2339.991	644	4239.745	0	311	924
gene-ADAMTS10	ADAMTS10	316	87	152	204	352	229	580	208	384.012	0	45	103
gene-ADAMTS12	ADAMTS12	326	127	509	207	408	272	558.922	231	257	0	82	215
gene-ADAMTS13	ADAMTS13	224	13	12	1	252	7	52	148	10	0	38	55
gene-ADAMTS14	ADAMTS14	75	11	25	40	33.191	14	84	47.286	74.032	0	12.507	46.688
gene-ADAMTS15	ADAMTS15	88	54	95	245	204	74	255	440	304	0	117	319
gene-ADAMTS16	ADAMTS16	0	5	180.001	21	1	3	347.378	3	11	0	0	0
gene-ADAMTS17	ADAMTS17	1	11	21	19	61	3	63	15	21	0	1	6
gene-ADAMTS18	ADAMTS18	0	0	34	1	4	0	68	4	3	0	0	0
gene-ADAMTS19	ADAMTS19	0	0	243.009	6	28	3	364	13	5	0	16	32
gene-ADAMTS2	ADAMTS2	139	185	109	1624	217	233.006	116.01	54	1427.486	0	12	34
gene-ADAMTS20	ADAMTS20	10	232	26.038	668	35	124	25	13	483	0	4	15
