rna-XM_005852746.1	gene-TOMM6	TOMM6
rna-XM_005852826.2	gene-LOC102243568	LOC102243568
rna-XR_001361621.1	gene-LOC106725686	LOC106725686
rna-XR_001361625.1	gene-LOC106725698	LOC106725698
rna-XM_014537786.1	gene-LOC106725702	LOC106725702
rna-XR_001361661.1	gene-LOC106725727	LOC106725727
rna-XR_001361675.1	gene-LOC106725737	LOC106725737
rna-XM_005852827.2	gene-LOC102244152	LOC102244152
rna-XR_001361704.1	gene-LOC106725761	LOC106725761
rna-XM_005852828.2	gene-LOC102244448	LOC102244448
rna-XR_001361740.1	gene-LOC106725778	LOC106725778
rna-XM_005852829.2	gene-LOC102244750	LOC102244750
rna-XR_001361763.1	gene-LOC106725796	LOC106725796
rna-XM_005852831.1	gene-LOC102245341	LOC102245341
rna-XM_005852832.2	gene-LOC102245644	LOC102245644
gene-LOC102245944	gene-LOC102245944	LOC102245944
rna-XR_001361843.1	gene-LOC106725840	LOC106725840
rna-XM_005852833.2	gene-LOC102246259	LOC102246259
rna-XM_005852834.2	gene-LOC102246571	LOC102246571
rna-XM_014538623.1	gene-LOC106725877	LOC106725877
rna-XM_014538683.1	gene-LOC106725893	LOC106725893
rna-XM_005852835.2	gene-LOC102247180	LOC102247180
rna-XM_005852837.2	gene-LOC102247769	LOC102247769
rna-XM_005852838.2	gene-LOC102248060	LOC102248060
gene-LOC102248360	gene-LOC102248360	LOC102248360
rna-XM_005852840.2	gene-LOC102248667	LOC102248667
rna-XM_005852842.2	gene-LOC102249557	LOC102249557
rna-XM_005852843.2	gene-LOC102249853	LOC102249853
rna-XM_005852844.2	gene-LOC102250149	LOC102250149
rna-XM_014539279.1	gene-LOC106726009	LOC106726009
rna-XM_014539353.1	gene-LOC106726016	LOC106726016
rna-XM_005852846.2	gene-LOC102250755	LOC102250755
rna-XR_001362056.1	gene-LOC106726040	LOC106726040
rna-XR_001362067.1	gene-LOC106726044	LOC106726044
rna-XR_312959.2	gene-LOC102251631	LOC102251631
rna-XM_014539585.1	gene-LOC106726060	LOC106726060
rna-XM_005852850.2	gene-LOC102252132	LOC102252132
gene-LOC102253024	gene-LOC102253024	LOC102253024
rna-XM_005852854.2	gene-LOC102253615	LOC102253615
rna-XM_005852856.2	gene-LOC102253916	LOC102253916
rna-XM_005852857.2	gene-LOC102254211	LOC102254211
rna-XM_014539938.1	gene-LOC106726147	LOC106726147
rna-XM_005852859.2	gene-LOC102254806	LOC102254806
rna-XM_005852860.2	gene-LOC102255112	LOC102255112
rna-XM_005852861.1	gene-LOC102255417	LOC102255417
gene-LOC102255719	gene-LOC102255719	LOC102255719
rna-XM_005852863.2	gene-LOC102256019	LOC102256019
rna-XM_005852864.2	gene-LOC102256320	LOC102256320
rna-XM_005852865.1	gene-LOC102256618	LOC102256618
rna-XM_005852866.2	gene-LOC102256924	LOC102256924
rna-XM_005852867.2	gene-LOC102257226	LOC102257226
rna-XM_005852868.2	gene-LOC102257530	LOC102257530
rna-XM_005852869.2	gene-LOC102257837	LOC102257837
gene-LOC102258137	gene-LOC102258137	LOC102258137
rna-XM_005852870.1	gene-LOC102258448	LOC102258448
rna-XM_005852871.2	gene-LOC102258737	LOC102258737
rna-XM_005852872.1	gene-LOC102259039	LOC102259039
rna-XM_005852873.2	gene-HBQ1	HBQ1
rna-XM_005852874.2	gene-LOC102259625	LOC102259625
rna-XM_005852875.2	gene-LOC102259924	LOC102259924
rna-XM_005852876.2	gene-LOC102260228	LOC102260228
rna-XM_014541066.1	gene-LOC102260534	LOC102260534
rna-XR_001362471.1	gene-LOC102260534	LOC102260534
rna-XM_005852878.2	gene-LOC102260827	LOC102260827
rna-XM_005852879.1	gene-LOC102261106	LOC102261106
gene-LOC102261398	gene-LOC102261398	LOC102261398
rna-XR_312960.2	gene-LOC102261993	LOC102261993
rna-XM_005852881.2	gene-LOC102262202	LOC102262202
rna-XM_014541427.1	gene-LOC106726474	LOC106726474
rna-XM_005852883.2	gene-LOC102262826	LOC102262826
rna-XM_005852884.1	gene-LOC102263133	LOC102263133
rna-XR_001362590.1	gene-LOC106726512	LOC106726512
rna-XM_005852885.2	gene-LOC102263433	LOC102263433
gene-LOC102263739	gene-LOC102263739	LOC102263739
rna-XM_014541856.1	gene-LOC106726548	LOC106726548
rna-XR_312961.1	gene-LOC102238693	LOC102238693
rna-XR_001362650.1	gene-LOC106726586	LOC106726586
rna-XR_001362663.1	gene-LOC106726594	LOC106726594
gene-LOC102238920	gene-LOC102238920	LOC102238920
rna-XM_005852888.2	gene-LOC102239232	LOC102239232
rna-XM_014542247.1	gene-LOC106726621	LOC106726621
gene-LOC102239528	gene-LOC102239528	LOC102239528
rna-XM_005852890.2	gene-LOC102239854	LOC102239854
rna-XR_001362740.1	gene-LOC106726662	LOC106726662
gene-LOC102240159	gene-LOC102240159	LOC102240159
rna-XM_005852892.2	gene-LOC102240467	LOC102240467
rna-XM_005852893.2	gene-LOC102240765	LOC102240765
gene-LOC102241063	gene-LOC102241063	LOC102241063
rna-XM_014542671.1	gene-LOC106726729	LOC106726729
gene-LOC102241368	gene-LOC102241368	LOC102241368
rna-XM_005852894.2	gene-LOC102241678	LOC102241678
rna-XR_001362865.1	gene-LOC106726756	LOC106726756
rna-XM_005852895.2	gene-LOC102242285	LOC102242285
rna-XM_005852896.1	gene-LOC102242589	LOC102242589
rna-XM_005852897.1	gene-LOC102242900	LOC102242900
rna-XM_005852898.2	gene-LOC102243206	LOC102243206
rna-XM_014543232.1	gene-LOC102243486	LOC102243486
rna-XM_005852899.2	gene-LOC102243486	LOC102243486
rna-XM_005852900.2	gene-LOC102243773	LOC102243773
rna-XM_005852901.2	gene-LOC102244064	LOC102244064
rna-XM_005852903.1	gene-LOC102244953	LOC102244953
rna-XM_005852904.2	gene-LOC102245249	LOC102245249
rna-XM_005852905.2	gene-LOC102245548	LOC102245548
rna-XM_014543663.1	gene-LOC106726912	LOC106726912
rna-XM_005852906.2	gene-LOC102245848	LOC102245848
rna-XM_005852907.2	gene-LOC102246155	LOC102246155
rna-XR_001363109.1	gene-LOC106726961	LOC106726961
rna-XM_005852909.2	gene-LOC102246673	LOC102246673
rna-XM_005852910.2	gene-LOC102247286	LOC102247286
rna-XM_005852912.2	gene-LOC102247864	LOC102247864
rna-XM_005852913.1	gene-LOC102248165	LOC102248165
rna-XM_005852914.2	gene-LOC102248455	LOC102248455
rna-XM_014544163.1	gene-LOC102248761	LOC102248761
rna-XM_014544201.1	gene-LOC102248761	LOC102248761
rna-XR_001363226.1	gene-LOC106727074	LOC106727074
rna-XM_005852917.1	gene-LOC102249354	LOC102249354
rna-XR_001363241.1	gene-LOC106727086	LOC106727086
rna-XM_005852918.1	gene-LOC102249652	LOC102249652
rna-XR_312962.1	gene-LOC102249953	LOC102249953
rna-XM_005852919.1	gene-LOC102250150	LOC102250150
rna-XM_005852921.1	gene-LOC102251048	LOC102251048
rna-XM_014544686.1	gene-LOC102251338	LOC102251338
rna-XR_312963.2	gene-LOC102251632	LOC102251632
rna-XM_005852923.2	gene-LOC102251831	LOC102251831
rna-XR_001363343.1	gene-LOC102252133	LOC102252133
rna-XM_005852925.2	gene-LOC102252426	LOC102252426
rna-XM_014544935.1	gene-LOC106727199	LOC106727199
rna-XM_014544956.1	gene-LOC106727199	LOC106727199
rna-XM_014545002.1	gene-LOC106727228	LOC106727228
rna-XR_001363410.1	gene-LOC106727240	LOC106727240
rna-XM_005852926.2	gene-LOC102252716	LOC102252716
rna-XR_001363427.1	gene-LOC106727257	LOC106727257
rna-XR_001363442.1	gene-LOC106727266	LOC106727266
rna-XM_014545228.1	gene-LOC106727273	LOC106727273
rna-XM_014545274.1	gene-LOC102253616	LOC102253616
rna-XM_005852929.2	gene-LOC102253616	LOC102253616
rna-XM_005852931.2	gene-LOC102253917	LOC102253917
rna-XM_014545390.1	gene-LOC102253917	LOC102253917
rna-XM_005852930.2	gene-LOC102253917	LOC102253917
rna-XM_005852932.2	gene-LOC102254434	LOC102254434
rna-XM_005852933.2	gene-LOC102254712	LOC102254712
rna-XM_005852934.2	gene-LOC102255010	LOC102255010
rna-XM_005852935.2	gene-LOC102255319	LOC102255319
rna-XM_005852936.2	gene-LOC102255622	LOC102255622
rna-XM_005852937.1	gene-LOC102255921	LOC102255921
rna-XM_014545848.1	gene-LOC106727415	LOC106727415
rna-XR_312964.2	gene-LOC102256230	LOC102256230
rna-XR_001363632.1	gene-LOC102256416	LOC102256416
rna-XR_001363643.1	gene-LOC106727448	LOC106727448
rna-XR_001363656.1	gene-LOC106727455	LOC106727455
rna-XR_001363661.1	gene-LOC106727462	LOC106727462
gene-LOC106727468	gene-LOC106727468	LOC106727468
rna-XM_005852938.2	gene-LOC102256619	LOC102256619
rna-XM_005852939.1	gene-LOC102256925	LOC102256925
rna-XM_005852940.2	gene-LOC102257227	LOC102257227
rna-XM_014546394.1	gene-LOC106727528	LOC106727528
rna-XR_001363775.1	gene-LOC106727539	LOC106727539
gene-LOC106727551	gene-LOC106727551	LOC106727551
rna-XR_001363807.1	gene-LOC106727567	LOC106727567
rna-XM_014546552.1	gene-LOC106727579	LOC106727579
gene-LOC102257531	gene-LOC102257531	LOC102257531
rna-XM_005852941.2	gene-LOC102258138	LOC102258138
rna-XM_005852942.2	gene-LOC102258449	LOC102258449
rna-XM_005852943.1	gene-LOC102258738	LOC102258738
rna-XM_005852944.2	gene-LOC102259040	LOC102259040
rna-XM_005852945.2	gene-GEMIN7	GEMIN7
rna-XM_005852946.2	gene-LOC102259626	LOC102259626
rna-XM_005852947.2	gene-LOC102259925	LOC102259925
rna-XM_014547074.1	gene-LOC106727670	LOC106727670
rna-XM_014547146.1	gene-LOC106727673	LOC106727673
gene-LOC102260229	gene-LOC102260229	LOC102260229
rna-XM_005852948.2	gene-LOC102260535	LOC102260535
rna-XR_312966.2	gene-LOC102260828	LOC102260828
rna-XM_014547332.1	gene-LOC102261018	LOC102261018
rna-XM_014547426.1	gene-LOC102261316	LOC102261316
rna-TRNAR-UCU	gene-TRNAR-UCU	TRNAR-UCU
rna-XM_005852951.2	gene-LOC102261816	LOC102261816
rna-XM_005852952.1	gene-LOC102262112	LOC102262112
rna-XM_005852953.1	gene-LOC102262416	LOC102262416
rna-XM_005852954.2	gene-LOC102262732	LOC102262732
rna-XM_005852955.2	gene-LOC102263034	LOC102263034
rna-XR_001364088.1	gene-LOC106727833	LOC106727833
rna-XM_005852956.1	gene-LOC102263336	LOC102263336
rna-XM_005852957.1	gene-LOC102263648	LOC102263648
rna-XM_014547983.1	gene-LOC106727862	LOC106727862
rna-XM_014548041.1	gene-LOC106727873	LOC106727873
rna-XM_005852959.1	gene-LOC102238597	LOC102238597
gene-LOC102238922	gene-LOC102238922	LOC102238922
rna-XR_312967.2	gene-LOC102239234	LOC102239234
rna-XR_001364152.1	gene-LOC102239234	LOC102239234
rna-XM_005852961.1	gene-LOC102239738	LOC102239738
rna-XM_014548332.1	gene-LOC106727926	LOC106727926
rna-XR_312968.2	gene-LOC102240041	LOC102240041
rna-XM_005852962.1	gene-LOC102240253	LOC102240253
rna-XM_014548475.1	gene-LOC106727967	LOC106727967
rna-XR_312969.2	gene-LOC102240557	LOC102240557
rna-XM_014548574.1	gene-LOC106727984	LOC106727984
rna-XM_005852963.2	gene-LOC102240767	LOC102240767
rna-XM_005852964.2	gene-LOC102241065	LOC102241065
rna-XM_005852965.1	gene-LOC102241370	LOC102241370
rna-XM_005852966.1	gene-LOC102241680	LOC102241680
rna-XM_014548868.1	gene-LOC106728037	LOC106728037
rna-XM_005852967.2	gene-LOC102241993	LOC102241993
rna-XM_005852968.2	gene-LOC102242287	LOC102242287
rna-XM_005852969.2	gene-LOC102242590	LOC102242590
rna-XM_014549113.1	gene-LOC106728096	LOC106728096
rna-XR_312970.1	gene-LOC102242901	LOC102242901
rna-XM_005852970.2	gene-LOC102243093	LOC102243093
rna-XM_005852971.2	gene-LOC102243384	LOC102243384
rna-XR_001364421.1	gene-LOC106728157	LOC106728157
rna-XM_014549377.1	gene-LOC106728163	LOC106728163
rna-XM_005852973.2	gene-LOC102243961	LOC102243961
rna-XM_005852974.1	gene-LOC102244254	LOC102244254
rna-XM_014549575.1	gene-LOC106728189	LOC106728189
rna-XM_005852976.2	gene-LOC102244853	LOC102244853
rna-XM_005852977.2	gene-LOC102245156	LOC102245156
rna-XM_005852978.1	gene-LOC102245446	LOC102245446
rna-XM_005852979.2	gene-LOC102245742	LOC102245742
rna-XM_005852980.2	gene-LOC102246047	LOC102246047
rna-XM_005852981.2	gene-LOC102246361	LOC102246361
rna-XM_005852982.2	gene-LOC102246674	LOC102246674
rna-XR_001364555.1	gene-LOC102246980	LOC102246980
gene-LOC102247287	gene-LOC102247287	LOC102247287
rna-XM_005852984.2	gene-LOC102247577	LOC102247577
rna-XM_005852985.2	gene-LOC102247865	LOC102247865
rna-XR_001364621.1	gene-LOC102248166	LOC102248166
rna-XM_014550308.1	gene-LOC106728332	LOC106728332
rna-XM_005852987.2	gene-LOC102248457	LOC102248457
rna-XM_005852988.2	gene-LOC102248762	LOC102248762
rna-XM_005852989.2	gene-LOC102249065	LOC102249065
rna-XR_001364688.1	gene-LOC106728384	LOC106728384
rna-XM_014550607.1	gene-LOC106728396	LOC106728396
gene-LOC102249355	gene-LOC102249355	LOC102249355
rna-XR_312971.2	gene-LOC102249653	LOC102249653
rna-XR_312972.2	gene-LOC102249854	LOC102249854
rna-XR_001359359.1	gene-LOC106723648	LOC106723648
rna-XR_001359368.1	gene-LOC106723664	LOC106723664
rna-XM_005852990.2	gene-LOC102250048	LOC102250048
rna-XM_005852991.1	gene-LOC102250347	LOC102250347
rna-XR_312973.2	gene-LOC102250655	LOC102250655
rna-XM_005852992.1	gene-LOC102250859	LOC102250859
rna-XM_005852993.2	gene-LOC102251153	LOC102251153
rna-XR_312974.1	gene-LOC102251441	LOC102251441
rna-XR_312975.2	gene-LOC102251633	LOC102251633
rna-XM_005852994.2	gene-LOC102251832	LOC102251832
rna-XM_005852995.2	gene-LOC102252134	LOC102252134
rna-XM_005852996.1	gene-LOC102252427	LOC102252427
rna-XM_005852998.2	gene-LOC102253026	LOC102253026
gene-LOC102253317	gene-LOC102253317	LOC102253317
gene-LOC102253617	gene-LOC102253617	LOC102253617
rna-XM_005853000.1	gene-LOC102254212	LOC102254212
rna-XM_005853001.2	gene-LOC102254512	LOC102254512
rna-XM_005853002.2	gene-LOC102254807	LOC102254807
gene-LOC102255113	gene-LOC102255113	LOC102255113
rna-XM_005853003.1	gene-LOC102255418	LOC102255418
rna-XM_005853005.1	gene-LOC102256020	LOC102256020
rna-XM_005853006.2	gene-LOC102256322	LOC102256322
rna-XM_005853007.2	gene-AMT	AMT
rna-XM_014529459.1	gene-LOC106723947	LOC106723947
rna-XM_005853008.2	gene-LOC102257228	LOC102257228
rna-XM_005853009.2	gene-LOC102257532	LOC102257532
rna-XM_014529586.1	gene-LOC102257532	LOC102257532
rna-XR_001359752.1	gene-LOC106723998	LOC106723998
rna-XM_005853010.2	gene-LOC102257839	LOC102257839
rna-XM_005853011.2	gene-LOC102258139	LOC102258139
rna-XM_014529847.1	gene-LOC106724038	LOC106724038
rna-XM_005853012.2	gene-LOC102258451	LOC102258451
rna-XM_005853014.2	gene-LOC102259042	LOC102259042
rna-XM_005853015.2	gene-LOC102259327	LOC102259327
rna-XM_005853016.2	gene-LOC102259627	LOC102259627
rna-XM_005853017.2	gene-LOC102259926	LOC102259926
rna-XR_312976.2	gene-LOC102260230	LOC102260230
rna-XM_005853018.2	gene-LOC102260437	LOC102260437
rna-XM_005853019.1	gene-LOC102260737	LOC102260737
rna-XM_005853021.1	gene-LOC102261317	LOC102261317
rna-XM_005853022.2	gene-LOC102261607	LOC102261607
rna-XM_005853023.2	gene-IFNB1	IFNB1
rna-XM_005853024.2	gene-LOC102262203	LOC102262203
rna-XM_005853025.2	gene-LOC102262514	LOC102262514
gene-LOC106724206	gene-LOC106724206	LOC106724206
rna-XR_312977.2	gene-LOC102262827	LOC102262827
rna-XM_005853026.2	gene-LOC102263134	LOC102263134
rna-XM_005853027.1	gene-LOC102263435	LOC102263435
rna-XM_014530878.1	gene-LOC102263741	LOC102263741
rna-XM_014530992.1	gene-LOC102263741	LOC102263741
rna-XM_005853029.2	gene-LOC102263741	LOC102263741
rna-XR_001360037.1	gene-LOC106724284	LOC106724284
rna-XM_005853030.2	gene-LOC102238598	LOC102238598
rna-XM_005853031.2	gene-LOC102238923	LOC102238923
rna-XM_005853032.2	gene-LOC102239235	LOC102239235
rna-XM_005853033.2	gene-LOC102239530	LOC102239530
rna-XM_005853034.2	gene-LOC102239856	LOC102239856
rna-XM_005853035.2	gene-LOC102240161	LOC102240161
rna-XM_005853036.1	gene-LOC102240469	LOC102240469
rna-XM_005853037.2	gene-LOC102240768	LOC102240768
rna-XM_014531596.1	gene-LOC106724377	LOC106724377
rna-XM_005853038.2	gene-LOC102241371	LOC102241371
rna-XM_014531714.1	gene-LOC106724408	LOC106724408
rna-XM_005853039.2	gene-LOC102241681	LOC102241681
rna-XR_001360240.1	gene-LOC106724434	LOC106724434
rna-XR_001360246.1	gene-LOC102242591	LOC102242591
rna-XM_005853042.2	gene-P2RX7	P2RX7
rna-XR_001360273.1	gene-LOC106724463	LOC106724463
rna-XR_001360284.1	gene-LOC102243095	LOC102243095
rna-XM_005853044.2	gene-LOC102243385	LOC102243385
rna-XM_005853045.2	gene-LOC102243666	LOC102243666
rna-XM_014532177.1	gene-LOC102243962	LOC102243962
rna-XM_005853046.2	gene-LOC102244255	LOC102244255
rna-XM_005853048.2	gene-LOC102244855	LOC102244855
rna-XR_001360374.1	gene-LOC106724545	LOC106724545
rna-XR_001360382.1	gene-LOC106724550	LOC106724550
rna-XR_001360385.1	gene-LOC106724553	LOC106724553
rna-XM_005853050.2	gene-LOC102245447	LOC102245447
rna-XM_005853051.2	gene-LOC102245743	LOC102245743
rna-XM_005853053.2	gene-LOC102246048	LOC102246048
rna-XM_014532548.1	gene-LOC102246048	LOC102246048
rna-XM_005853054.2	gene-LOC102246573	LOC102246573
rna-XM_005853055.2	gene-LOC102246876	LOC102246876
rna-XM_005853056.2	gene-LOC102247182	LOC102247182
rna-XM_005853057.1	gene-LOC102247479	LOC102247479
rna-XM_005853058.2	gene-LOC102247770	LOC102247770
rna-XR_312980.2	gene-LOC102248061	LOC102248061
rna-XR_312981.2	gene-LOC102248258	LOC102248258
rna-XM_005853059.2	gene-UBD	UBD
rna-XM_005853060.2	gene-LOC102248763	LOC102248763
rna-XM_014533130.1	gene-LOC106724715	LOC106724715
rna-XR_001360581.1	gene-LOC106724735	LOC106724735
rna-XM_014533227.1	gene-LOC106724752	LOC106724752
rna-XM_005853061.2	gene-LOC102249066	LOC102249066
rna-XM_005853062.2	gene-LOC102249356	LOC102249356
rna-XM_005853063.2	gene-IL1RL1	IL1RL1
rna-XM_005853064.2	gene-LOC102249955	LOC102249955
rna-XR_001360644.1	gene-LOC106724805	LOC106724805
rna-XM_005853065.2	gene-LOC102250254	LOC102250254
rna-XM_014533612.1	gene-LOC106724827	LOC106724827
rna-XR_001360664.1	gene-LOC102250565	LOC102250565
rna-XM_005853067.1	gene-LOC102250860	LOC102250860
rna-TRNAR-ACG	gene-TRNAR-ACG	TRNAR-ACG
rna-XM_014533671.1	gene-LOC102251634	LOC102251634
rna-XM_014533692.1	gene-LOC106724836	LOC106724836
gene-LOC102251936	gene-LOC102251936	LOC102251936
rna-XM_005853069.1	gene-LOC102252227	LOC102252227
gene-LOC102252512	gene-LOC102252512	LOC102252512
rna-XM_014533713.1	gene-LOC106724842	LOC106724842
gene-LOC102252814	gene-LOC102252814	LOC102252814
gene-LOC102253116	gene-LOC102253116	LOC102253116
rna-XM_014533723.1	gene-LOC106724844	LOC106724844
rna-XM_005853070.2	gene-LOC102253410	LOC102253410
gene-LOC102253717	gene-LOC102253717	LOC102253717
rna-XM_014533744.1	gene-LOC102254025	LOC102254025
rna-TRNAM-CAU	gene-TRNAM-CAU	TRNAM-CAU
rna-XR_001360682.1	gene-LOC106724849	LOC106724849
rna-XM_014533755.1	gene-LOC106724851	LOC106724851
rna-XM_005853071.2	gene-LOC102254514	LOC102254514
rna-XM_005853072.1	gene-LOC102254809	LOC102254809
rna-XR_001360687.1	gene-LOC106724853	LOC106724853
rna-XM_014533778.1	gene-LOC106724854	LOC106724854
gene-LOC102255114	gene-LOC102255114	LOC102255114
rna-XR_001360688.1	gene-LOC106724855	LOC106724855
rna-XM_005853073.1	gene-LOC102255419	LOC102255419
rna-XR_001360691.1	gene-LOC102255721	LOC102255721
rna-XM_005853075.2	gene-LOC102256021	LOC102256021
rna-XR_001360695.1	gene-LOC102256323	LOC102256323
gene-LOC102256928	gene-LOC102256928	LOC102256928
rna-XM_005853079.1	gene-LOC102257229	LOC102257229
rna-XM_005853080.2	gene-LOC102257533	LOC102257533
rna-XM_005853081.2	gene-LOC102257841	LOC102257841
rna-XR_001360703.1	gene-LOC106724861	LOC106724861
gene-LOC102258141	gene-LOC102258141	LOC102258141
rna-XM_005853082.2	gene-LOC102258741	LOC102258741
rna-XM_014533878.1	gene-LOC106724869	LOC106724869
