gene_id	gene_name	L1_P25558_101_S30	L1_P25558_102_S31	L1_P25558_103_S32	L1_P25558_104_S33	L1_P25558_106_S35	L2_P24120_101	L2_P24120_102	L2_P24120_104	L2_P24120_105	L2_P24120_106	L3_P24120_103_S130	L3_P24120_103_S51
gene-AAR2	AAR2	14.962895	15.553897	27.747822	9.373769	16.856233	17.591273	41.815081	22.446552	10.523137	0	20.9936	21.670305
gene-AARS	AARS	24.809511	63.907051	75.683041	42.181732	37.36048	62.48746	107.371989	86.394462	51.678386	0	67.658242	68.860955
gene-AARS2	AARS2	0.863057	8.074085	8.548446	9.645452	4.766372	6.146052	11.053681	7.084705	11.338246	0	6.050751	6.07697
gene-AASDH	AASDH	1.244268	23.106827	23.113163	10.903476	5.54134	12.057864	12.455809	6.028078	6.57847	0	13.854524	14.088553
gene-AASDHPPT	AASDHPPT	7.281753	51.792985	81.755761	28.31655	11.330397	34.16239	50.102352	28.704234	16.449457	0	48.122739	51.004432
gene-AASS	AASS	0.387609	115.237799	124.310328	159.700832	2.263792	51.061385	52.086799	1.215568	95.995335	0	4.316906	3.986533
gene-AATF	AATF	11.262228	19.691822	53.424963	15.407855	10.538029	19.735784	49.375165	29.640592	13.54121	0	29.191698	32.155599
gene-AATK	AATK	0.132478	0.048504	0.177312	0.045705	11.284254	0	0.067157	3.639942	0.047696	0	6.497894	7.03909
gene-ABAT	ABAT	69.783218	4.392322	274.221111	3.402438	122.272682	3.099482	246.894965	102.592535	4.284184	0	104.8331	105.602663
gene-ABCA1	ABCA1	1.294336	13.938301	50.554708	11.674194	9.259693	6.908276	13.093508	1.352705	3.806123	0	5.496929	5.443862
gene-ABCA12	ABCA12	0.039955	0	0.003788	0.025973	0.008902	0	0	0	0	0	0	0
gene-ABCA13	ABCA13	0	0.02274	0.041567	0.10056	0.003835	0.014812	0.012367	0.016285	0.051219	0	0.117622	0.100637
gene-ABCA2	ABCA2	0	3.088717	1.881754	0.843665	2.631473	0.279559	1.876214	0.610913	0.838768	0	0.978973	0.8567
gene-ABCA3	ABCA3	9.133751	7.51285	24.55172	5.164793	28.613897	5.43262	27.139083	25.774061	4.788491	0	25.800336	25.696108
gene-ABCA4	ABCA4	0.043896	0.079813	5.524899	0.177481	0.025784	0.129778	7.135087	0.051852	0.294184	0	0.056566	0.049714
gene-ABCA5	ABCA5	0.071243	12.752463	44.14333	9.098812	3.385392	2.806241	9.392096	0.409191	1.185897	0	3.03563	3.154668
gene-ABCA6	ABCA6	0.907231	13.196942	16.813445	27.823678	3.384845	7.071839	10.838161	1.300123	8.841404	0	4.303073	4.17201
gene-ABCA7	ABCA7	0.506423	0.040886	0.393617	0.181072	2.093606	0.05358	0.847184	0.953706	0.274912	0	0.883256	0.734042
gene-ABCA9	ABCA9	0.710468	10.292475	5.354095	37.962346	5.621568	5.815751	1.334689	1.035912	11.230812	0	3.460376	3.607224
gene-ABCB1	ABCB1	132.25729	3.184353	97.016852	8.187912	315.631938	2.936261	57.54031	121.302151	5.100707	0	204.109738	203.252629
gene-ABCB10	ABCB10	3.441043	62.723326	33.662384	44.600048	19.969405	22.207885	24.162514	19.448513	29.407068	0	32.803613	34.084059
gene-ABCB11	ABCB11	0.008449	0.398909	0.374718	0	0	0.108803	0.02187	0.084642	0.009059	0	0.308989	0.254042
gene-ABCB5	ABCB5	0	0	0	0	0	0	0.003845	0	0	0	0	0
gene-ABCB6	ABCB6	43.715235	26.422192	56.337739	14.582789	31.898426	32.83052	62.512649	52.760175	18.159098	0	42.007879	43.458171
gene-ABCB7	ABCB7	20.087979	34.774407	29.650384	95.164779	21.564913	18.247678	18.888806	23.36932	68.673931	0	37.258359	37.491825
gene-ABCB8	ABCB8	4.187843	23.38059	7.908215	13.402813	19.730536	12.45733	16.248709	22.387277	43.422369	0	13.135928	13.411528
gene-ABCB9	ABCB9	1.449375	0.768938	2.137829	3.202148	4.90724	0.674321	3.607455	4.680644	3.765099	0	3.861503	3.823561
gene-ABCC1	ABCC1	1.613174	14.754262	3.709569	6.447859	7.409512	7.767888	4.928837	5.450614	6.178654	0	6.882705	6.403981
gene-ABCC10	ABCC10	2.241139	3.235048	4.346703	2.437457	9.403024	3.197802	8.686251	12.505036	4.222449	0	8.011498	8.064746
gene-ABCC11	ABCC11	0	0.09988	0.564323	0.026558	0.246648	0.025887	0.339513	0.070259	0.005819	0	0.108036	0.153774
gene-ABCC12	ABCC12	0	0.011418	0.006957	0.009543	0.027173	0	0.00885	0.002329	0.036655	0	0	0
gene-ABCC2	ABCC2	22.606479	0.160678	26.366925	0.146874	56.993091	0.131801	11.11856	42.264551	0.051526	0	93.698562	92.880605
gene-ABCC3	ABCC3	1.342529	0.192156	1.902044	0.422719	3.355761	0.316751	2.74944	5.379629	0.278948	0	4.090319	4.228468
gene-ABCC4	ABCC4	0.27952	14.377644	122.756712	13.820301	9.937563	2.001227	27.413658	3.616282	6.535135	0	18.247828	19.297016
gene-ABCC5	ABCC5	8.019466	11.96085	15.520234	12.130905	20.810975	8.9507	22.502249	47.199095	16.814027	0	56.767453	57.453794
gene-ABCC6	ABCC6	0.022111	0.053879	0.156294	0.166641	0.251505	0.016488	0.064727	0.029707	0.042098	0	0.070371	0.090366
gene-ABCC8	ABCC8	0.064406	0.545451	0.30989	0.101165	0.280035	0.533869	0.806915	0.288626	0.135389	0	0.203478	0.198248
gene-ABCC9	ABCC9	0.701675	60.921595	13.897485	58.122938	4.149832	26.178139	4.122875	1.542351	24.870037	0	4.556334	4.248677
gene-ABCD1	ABCD1	84.468918	10.565696	7.042516	4.370175	133.808243	12.746318	13.976732	95.56333	9.89144	0	50.848252	50.302662
gene-ABCD2	ABCD2	0.086707	16.335846	1.036373	30.879096	0.808976	4.2673	0.154897	0.227375	10.417636	0	1.145232	0.858784
gene-ABCD3	ABCD3	55.696782	97.959396	170.584386	84.653016	79.743722	53.070026	98.769859	52.642345	52.907684	0	109.645986	109.544791
gene-ABCD4	ABCD4	23.026623	3.725526	20.655212	5.783069	26.782152	4.584209	22.297364	27.65339	6.677974	0	24.223638	24.181937
gene-ABCE1	ABCE1	11.143016	121.7811	159.662582	81.124178	34.99295	63.312312	73.799381	65.418165	36.485061	0	136.584313	141.894784
gene-ABCF1	ABCF1	40.385982	33.048005	38.842199	32.722313	35.058436	53.761162	88.673025	67.071871	70.808253	0	30.204171	29.571318
gene-ABCF2	ABCF2	7.318719	67.206766	45.773797	44.398931	12.388094	63.446473	53.537551	27.695056	52.440153	0	28.582962	28.21317
gene-ABCF3	ABCF3	13.37511	16.578617	48.832895	24.374016	21.867146	15.488456	42.341362	28.704706	24.11336	0	35.820393	37.207138
gene-ABCG1	ABCG1	1.116947	2.235736	6.964432	1.868173	2.997804	2.020841	9.162718	1.025949	2.067802	0	1.246915	1.294142
gene-ABCG4	ABCG4	0.080789	0.024349	0.192864	0.061122	0.138166	0.063256	0.394189	0.105245	0.331852	0	0.066696	0.074101
gene-ABCG5	ABCG5	8.501556	0.140666	0.83371	0.088507	38.889104	0.1076	0.516161	32.752213	0.137035	0	53.812422	54.942494
gene-ABCG8	ABCG8	21.360642	0.034463	0.183044	0	44.339217	0.02241	0.085029	27.393162	0	0	20.520662	20.050381
gene-ABHD1	ABHD1	72.598228	92.789816	35.258106	34.237244	42.862427	135.5247	48.469584	28.314375	52.673478	0	21.569729	22.223127
gene-ABHD10	ABHD10	9.663179	20.852444	27.980639	29.691095	6.862397	18.887247	19.746749	14.024962	23.956179	0	19.898977	18.795258
gene-ABHD11	ABHD11	74.977996	23.119748	64.531011	92.056071	38.077033	31.160249	85.285421	54.423269	113.29469	0	41.822497	42.505421
gene-ABHD12	ABHD12	123.702636	43.086057	118.983827	19.346866	82.064364	55.341102	144.44606	97.64293	16.285455	572.553324	85.558888	83.500688
gene-ABHD12B	ABHD12B	0.732402	0.014193	1.115519	0.071366	2.334123	0	0.67726	4.390432	0	0	6.51284	6.736482
gene-ABHD13	ABHD13	5.535708	14.450907	29.247409	10.37915	14.201936	5.624885	10.329367	9.426047	4.58957	775.439738	25.980747	25.018936
gene-ABHD14A	ABHD14A	1.861569	0.828272	10.408957	1.996899	1.616709	0.929873	13.209703	2.853007	2.916294	0	2.105475	1.798775
gene-ABHD14B	ABHD14B	108.671177	1.271261	98.3834	2.63456	64.202437	3.382541	226.876923	138.355249	5.589704	0	55.203607	56.832322
gene-ABHD15	ABHD15	0.453462	6.521755	3.980008	0.173417	0.615431	7.005882	3.601292	0.883552	0.218511	0	0.697446	0.785916
gene-ABHD16B	ABHD16B	0.030458	0.799061	2.429157	0.358961	1.085318	0.131201	0.989036	0.166301	0.163884	0	0.645015	0.597212
gene-ABHD17A	ABHD17A	26.742666	68.186256	74.999677	28.54913	41.384062	77.792606	124.080309	103.028098	46.873265	0	63.838188	65.022951
gene-ABHD17B	ABHD17B	28.688349	24.586106	34.98313	10.652315	47.062238	13.677933	12.558521	23.57213	5.14322	0	57.197417	57.854321
gene-ABHD17C	ABHD17C	4.445194	0.597595	3.34083	1.332536	64.186412	0.195584	2.596543	13.170857	1.174187	0	13.596989	12.724011
gene-ABHD18	ABHD18	7.31386	42.716124	40.537286	125.183079	22.626106	15.707154	13.287621	15.048664	63.782666	0	50.490849	50.559666
gene-ABHD2	ABHD2	248.083944	3.603282	66.075502	3.843108	425.931819	5.801906	136.108019	138.625772	3.82481	0	143.347295	139.407918
gene-ABHD3	ABHD3	210.717249	5.947818	191.554763	9.464155	201.906048	5.026095	125.656821	164.232262	5.860091	0	243.681327	240.212309
gene-ABHD4	ABHD4	55.675941	17.37817	29.884448	13.715583	43.087783	32.620535	64.702175	61.681121	36.577597	0	28.011872	26.454075
gene-ABHD5	ABHD5	27.633692	73.985749	111.412822	43.84566	23.120396	50.121701	75.718241	36.226195	31.982809	0	55.562622	54.970781
gene-ABHD6	ABHD6	18.129934	23.784825	10.922798	12.709887	58.182523	22.908793	20.875108	60.287598	21.5655	0	36.14947	36.119209
gene-ABHD8	ABHD8	5.276386	5.248336	4.151353	5.488099	6.717198	5.338084	6.289481	3.858411	6.985771	0	2.376145	2.113798
gene-ABI1	ABI1	44.827938	25.274396	72.239286	18.203827	42.350912	31.660377	66.844157	88.708837	17.570451	0	104.990455	104.013221
gene-ABI2	ABI2	1.678552	3.411547	24.010212	4.764008	7.445695	3.942335	19.085727	3.151885	3.084367	0	9.095375	9.062982
gene-ABI3	ABI3	3.502485	2.481916	0.943468	0.626751	1.493222	1.663547	1.440445	2.067926	0.728771	0	0.697253	1.154718
gene-ABI3BP	ABI3BP	2.168157	0.840415	0.930606	6.727839	4.526569	1.101986	0.210754	0.850987	7.571353	0	3.774728	3.649211
gene-ABL1	ABL1	8.750922	22.293157	22.112019	15.093714	27.571582	22.038356	42.891316	22.35091	30.427494	0	15.434532	15.384598
gene-ABL2	ABL2	1.194858	22.317675	27.354143	7.75633	5.96443	6.826755	11.50483	3.084415	4.28796	0	10.753227	11.380337
gene-ABLIM1	ABLIM1	17.237024	31.186413	32.022125	18.662925	36.04348	34.397113	49.368553	35.226047	32.221886	0	34.107414	33.532262
gene-ABLIM2	ABLIM2	0.172384	25.59872	1.608675	11.802424	0.743892	16.084041	2.056715	0.569974	20.519185	0	0.324464	0.35192
gene-ABLIM3	ABLIM3	2.304402	14.8703	26.444253	24.500434	2.254973	34.480719	27.277178	1.631492	34.200185	0	1.491935	1.66633
gene-ABO	ABO	10.966947	0.129445	2.951875	0.129282	46.246554	0.065736	5.023481	20.415081	0.109011	0	14.374346	14.390026
gene-ABR	ABR	9.077866	6.189239	39.476627	8.598927	35.461666	7.95829	41.759963	42.362442	9.989783	0	44.93729	46.289195
gene-ABRA	ABRA	0.261455	73.24292	2.15832	58.32466	0.739102	30.156042	0.992	0.170697	42.964752	0	1.158787	1.145478
gene-ABRACL	ABRACL	22.298641	1.117605	16.388772	4.081453	12.182233	1.327994	12.78403	45.80463	3.278776	0	42.810058	45.218396
gene-ABT1	ABT1	6.152743	13.385691	16.687634	5.612534	10.173282	13.346256	20.391616	23.354774	9.352255	0	17.128512	17.633047
gene-ABTB1	ABTB1	7.090948	12.187716	14.93037	5.95908	7.129393	13.87704	20.840136	7.933495	7.12154	0	7.585627	7.649221
gene-ABTB2	ABTB2	1.464459	2.233022	4.656491	3.332878	8.164454	1.497534	4.819839	5.019607	3.43271	0	4.229567	4.322444
gene-ACAA1	ACAA1	396.324593	184.026101	558.635449	73.181524	212.733563	293.487856	787.824279	440.749752	103.026323	0	317.53935	328.16084
gene-ACAA2	ACAA2	181.53324	1248.972425	639.09823	623.272051	135.514702	1144.543242	662.044049	336.499709	749.616176	1209.876027	291.03049	295.202354
gene-ACACA	ACACA	1.318298	37.266268	30.103673	14.449137	8.852268	15.502325	16.070601	5.210219	7.518011	0	16.950051	16.877832
gene-ACACB	ACACB	10.163875	204.920796	39.346532	46.321938	46.246391	101.658062	43.230013	15.123419	57.336388	0	17.748434	17.654123
gene-ACAD10	ACAD10	6.652489	8.234928	52.065505	4.21098	11.913042	7.173064	52.727635	20.092603	5.581899	0	21.300239	19.402537
gene-ACAD11	ACAD11	19.741136	14.12832	40.460665	34.03555	19.788305	7.627712	18.760348	20.280694	26.638879	0	34.728367	34.311148
gene-ACAD8	ACAD8	4.621886	118.503383	43.150215	131.367756	7.37056	96.970306	55.802784	17.945731	165.357719	0	14.766007	14.873837
gene-ACAD9	ACAD9	7.196217	22.735387	45.049031	48.860171	18.009004	14.041103	29.936069	23.581157	40.666391	0	35.795923	34.634986
gene-ACADL	ACADL	313.690391	663.538773	56.049562	340.158642	253.905177	485.697488	42.758089	79.008523	451.854998	707.529681	91.11972	95.328767
gene-ACADM	ACADM	139.936712	1996.566232	241.497125	1371.216344	158.73935	1431.812207	151.874912	104.246867	1229.219076	0	146.780353	144.928273
gene-ACADS	ACADS	25.069279	259.929202	105.57582	135.106259	48.089881	199.158809	145.554369	54.48753	226.398839	1418.834165	38.033481	39.290974
gene-ACADSB	ACADSB	77.105066	448.265976	74.446524	254.834086	72.29596	463.789492	114.217828	84.918223	420.038752	0	59.2672	56.063095
gene-ACADVL	ACADVL	288.930921	3958.005733	580.97718	2104.999135	261.063611	4226.568421	732.774421	493.321682	2667.707476	1993.542983	390.227803	389.448963
gene-ACAN	ACAN	0	0.022959	0.099675	0	0	0	0.013316	0	0.011031	0	0	0
gene-ACAP1	ACAP1	4.066659	1.309502	1.075205	2.162453	5.385257	1.392786	2.371509	3.319446	2.386142	0	2.610044	2.700382
gene-ACAP2	ACAP2	5.489741	27.897978	65.934917	30.995142	45.4322	4.998894	10.004342	11.492539	4.705344	0	76.146551	76.318065
gene-ACAP3	ACAP3	0.674276	4.391174	4.721487	3.286242	3.506435	3.956129	8.158911	8.313676	4.222924	0	5.446507	5.300452
gene-ACAT1	ACAT1	117.112252	1051.927716	445.243127	1503.954778	66.176905	928.358628	395.641541	177.554209	1294.76205	0	190.833245	188.143462
gene-ACAT2	ACAT2	7.810971	4.401164	16.783813	6.064811	6.066024	6.056497	16.595128	16.882063	5.593862	0	16.789476	15.29973
gene-ACBD3	ACBD3	18.780898	34.003537	45.470528	13.853092	16.560274	30.627808	51.158571	34.71268	13.409471	0	35.66333	34.922477
gene-ACBD4	ACBD4	56.591697	6.40236	16.034313	6.923476	46.159044	9.334359	27.984075	69.377407	9.866038	0	39.890571	40.773755
gene-ACBD5	ACBD5	3.745251	84.395305	110.815892	51.279359	18.127639	26.851171	52.565786	20.338467	32.808209	0	52.259849	52.391699
gene-ACBD6	ACBD6	36.362383	54.95918	86.244974	40.706807	15.459033	70.214604	79.26399	64.113415	35.605424	0	68.130719	65.696668
gene-ACBD7	ACBD7	0	0	0.143586	0	0	0	0.193253	0.151334	0	0	0	0
gene-ACD	ACD	1.253611	3.260356	4.892533	2.630957	2.443398	3.830897	8.106278	4.171128	3.016485	0	2.42466	2.331112
gene-ACE	ACE	4.421927	1.907295	0.558273	1.323313	10.704069	6.393993	2.945674	6.051887	4.138194	0	3.127256	3.197938
gene-ACE2	ACE2	1610.954362	0.599507	47.453898	0.445459	2014.697693	0.730059	33.259533	1687.122598	0.352429	0	2413.645297	2425.83187
gene-ACER1	ACER1	0	0.016966	0.158772	0	0	0	0.122283	0.010676	0	0	0	0
gene-ACER2	ACER2	22.883233	42.449737	141.267484	18.666771	34.78989	53.636448	130.946281	22.969679	19.496689	0	31.197242	31.213865
gene-ACER3	ACER3	14.622386	10.136598	14.459619	13.386647	27.860837	3.87087	6.34203	13.564679	5.985448	0	30.977438	30.272349
gene-ACHE	ACHE	1.446553	8.112773	0.998951	40.119172	3.748116	7.873121	2.194076	1.536651	86.464051	0	1.13174	0.874459
gene-ACIN1	ACIN1	37.97324	14.594113	38.225185	19.047038	33.579817	27.923442	76.94837	53.532066	32.237758	0	35.969831	36.173087
gene-ACKR1	ACKR1	3.344111	2.61044	0.215751	5.564829	1.658301	4.382967	0.95263	1.528944	9.559661	0	0.316022	0.55532
gene-ACKR2	ACKR2	0.108837	1.169393	1.115991	0.414445	0.086215	1.134114	1.557235	0.142176	0.347442	0	0.113414	0.204287
gene-ACKR3	ACKR3	5.126521	26.560168	80.739463	49.009496	2.850016	44.820164	96.44308	5.55769	58.733177	0	4.377499	4.224113
gene-ACKR4	ACKR4	7.706974	1.620503	18.039098	2.123394	12.044109	1.270405	10.552421	13.243033	1.288941	0	24.004941	22.889404
gene-ACLY	ACLY	10.329667	41.974161	109.993359	34.931848	26.941608	26.735835	91.47893	36.880635	24.112089	0	57.915884	58.848546
gene-ACMSD	ACMSD	0.030474	0.044694	42.539931	0.130985	0.063109	0.068242	25.555741	0	0.029289	0	0.122248	0.113232
gene-ACO2	ACO2	146.947101	1194.592444	277.733682	1098.778683	207.504786	1144.70938	546.918054	329.881366	2613.499213	1275.199622	175.862212	174.439741
gene-ACOT11	ACOT11	2.201271	96.092206	18.404692	36.664754	124.863066	48.864207	13.739603	64.623264	53.239228	0	111.019958	108.820336
gene-ACOT12	ACOT12	0	0.607886	0.679006	0.12726	0.333755	0.265243	0.25804	0.160944	0.132545	0	0.492631	0.444896
gene-ACOT13	ACOT13	83.313124	167.427285	140.309763	425.303035	45.833459	184.348728	168.269382	103.901075	491.725302	0	83.144897	80.581674
gene-ACOT7	ACOT7	20.343294	0.863929	4.975407	0.579178	21.06839	0.999288	6.864035	43.646387	0.884421	0	32.860981	31.954107
gene-ACOT8	ACOT8	38.430386	20.708828	28.362807	9.560333	25.906286	15.206063	37.660823	32.951904	11.211718	0	25.387699	25.954101
gene-ACOT9	ACOT9	35.068825	73.05528	51.630858	31.630412	20.374063	76.633558	48.703938	37.319377	33.088804	0	38.008644	40.059326
gene-ACOX1	ACOX1	117.019868	133.177751	224.683639	59.22853	211.180594	68.201108	161.0796	139.017954	53.867774	0	202.56115	201.700274
gene-ACOX2	ACOX2	3.406322	6.644921	30.674453	23.683086	6.377283	6.312111	40.357254	14.955979	32.783577	0	10.323279	10.959331
gene-ACOX3	ACOX3	0.427649	3.021129	2.893316	5.266362	3.812606	1.054852	2.936058	2.030056	6.144946	0	1.957744	1.985314
gene-ACP1	ACP1	33.750411	26.974243	60.879465	29.923668	21.009466	29.677409	67.970188	45.146789	26.462752	0	40.316863	39.9334
gene-ACP2	ACP2	20.913081	5.38768	13.87132	8.440521	17.406721	4.886075	19.290223	18.93163	11.180859	0	16.165178	16.31581
gene-ACP5	ACP5	27.550923	1.856241	71.032808	5.842339	31.056508	1.58215	111.555339	39.817099	5.951707	0	23.946184	25.20856
gene-ACP6	ACP6	24.823986	29.008317	19.255767	31.384669	14.897015	43.030031	33.273406	37.859615	43.302182	0	22.282402	25.011113
gene-ACPP	ACPP	0.156722	0.258135	2.451968	0.607266	0.612	0.074701	2.191131	0.168861	0.253971	0	0.530407	0.626013
gene-ACPT	ACPT	0	0	0	0	0.087828	0.009015	0.008156	0	0	0	0.084993	0.031486
gene-ACR	ACR	0	0	0.031097	0	0	0.015062	0.013627	0.042831	0.016939	0	0	0
gene-ACRBP	ACRBP	1.422616	0.065763	1.649999	0.1318	1.204044	0.127896	2.776069	0.83126	0.196435	0	1.363449	1.083631
gene-ACRC	ACRC	0.513552	0.749862	2.918648	0.470652	0.82208	0.566293	1.804272	0.114567	0.309715	0	0.562161	0.805699
gene-ACRV1	ACRV1	0	0.110753	0.231346	0	0.155288	0.014988	0.025269	0.168842	0	0	0.56136	0.528302
gene-ACSBG1	ACSBG1	0.076463	1.583706	0.805053	0.458848	0.424583	1.082611	1.450608	0.278486	0.42096	0	0.230882	0.228053
gene-ACSBG2	ACSBG2	0	0	0.052171	0	0	0	0	0	0	0	0	0
gene-ACSF2	ACSF2	222.024493	14.460032	15.156553	16.156593	145.995234	15.765926	19.942156	282.43679	18.349902	0	243.500251	244.585211
gene-ACSF3	ACSF3	4.622076	12.393597	11.947335	15.795581	5.118079	14.037113	15.230038	8.681475	18.488814	0	7.958504	8.166702
gene-ACSL1	ACSL1	9.898852	637.57077	407.580174	255.252777	16.80394	439.037561	503.026623	27.027255	296.712463	0	22.999614	22.769541
gene-ACSL3	ACSL3	5.252352	15.024862	68.817289	3.539249	6.981088	12.504866	51.999704	28.057607	2.004679	0	35.636053	35.388498
gene-ACSL4	ACSL4	6.073608	135.144285	141.33557	44.841577	17.071413	61.543706	76.494179	14.383109	23.045823	0	37.040982	37.61764
gene-ACSL5	ACSL5	1399.856072	7.877533	47.103404	21.122317	1062.91516	11.014084	41.91018	1127.269251	20.714109	0	1268.800364	1283.979842
gene-ACSL6	ACSL6	0.386501	61.744195	11.751416	99.771617	0.577142	40.735148	11.740557	0.396632	93.830742	349.656005	0.255214	0.449475
gene-ACSM3	ACSM3	1.466956	3.823213	5.981551	12.27921	0.972869	3.95024	6.109989	2.820205	18.71854	0	3.737839	3.467251
gene-ACSS1	ACSS1	157.990982	80.411719	99.966456	72.90455	142.007187	71.597591	104.688894	211.9143	90.802858	446.694002	183.601616	187.529194
gene-ACSS2	ACSS2	31.520694	30.218361	42.322583	25.535438	63.217915	24.276634	44.293068	110.631268	32.512658	0	117.627233	122.796339
gene-ACSS3	ACSS3	1.443139	20.675177	61.115068	42.872133	4.377066	13.628679	27.224938	7.697453	25.421671	0	16.526138	17.367278
gene-ACTA1	ACTA1	0	2531.401093	2.007746	7543.000598	0.557555	1358.674433	0.550651	0.213474	12484.343493	0	0	0.052321
gene-ACTA2	ACTA2	147.604654	98.339968	73.307235	154.859867	89.326231	69.824932	80.8471	57.44196	469.92321	652.530347	60.119322	59.296459
gene-ACTB	ACTB	4265.208519	337.493433	851.102935	822.180767	3195.523943	347.320311	903.287281	2747.395309	1132.701599	0	2653.358932	2646.06706
gene-ACTBL2	ACTBL2	0.073186	82.144809	0.036666	244.97162	0	151.894529	0.080293	0.26497	961.442866	919.845437	0.109901	0.204657
gene-ACTC1	ACTC1	0	3.777884	0.349973	3.00049	0	6.262765	0.348902	0.021929	3.226865	0	0.047499	0.070438
gene-ACTG1	ACTG1	2061.51047	320.874958	322.249393	747.255642	1842.120362	288.094499	441.972815	1603.77302	1623.538628	2751.225367	1042.237063	1042.915771
gene-ACTG2	ACTG2	940.589131	49.035899	2.971037	129.901807	437.744094	43.685345	3.086969	104.019276	465.490947	0	101.772579	101.317013
gene-ACTL10	ACTL10	0	0.051332	0.09382	0	0.212779	0.023226	0.105086	0	0	0	0.418382	0.362425
gene-ACTL6A	ACTL6A	6.535429	20.633305	28.428293	11.245588	5.622433	16.045476	19.890806	16.781073	7.921207	0	26.2396	25.315723
gene-ACTL6B	ACTL6B	0.84182	0	0.052254	0	0.200888	0	0.045484	0.822818	0	0	0.390411	0.405189
gene-ACTL7A	ACTL7A	0	1.110706	2.344605	0.452449	0.526565	0.303632	1.136267	0.058898	0	0	1.451767	1.456348
gene-ACTL7B	ACTL7B	0.076031	0.632494	0.981571	0.074963	0.100987	0.187772	0.868222	0.089148	0.011729	0	0.326299	0.411081
gene-ACTL8	ACTL8	0	0	0.035741	0	0	0	0.015764	0	0	0	0	0
gene-ACTN1	ACTN1	6.354826	41.101396	35.090959	24.752275	42.982717	19.174459	50.692924	51.871371	25.928185	0	49.553902	47.53801
gene-ACTN2	ACTN2	0.668519	1312.010526	0.677567	857.087267	0.805197	907.389277	1.096727	0.332975	1117.388815	912.133709	0.243266	0.25784
gene-ACTN3	ACTN3	0.168619	1.869585	0.249525	117.280385	0.270325	2.136929	0.406942	0.138621	182.793157	0	0.081371	0.096402
gene-ACTN4	ACTN4	266.272538	13.530623	252.867686	12.192239	438.206986	29.650684	357.274762	659.855408	14.493777	0	508.519898	513.881543
gene-ACTR10	ACTR10	61.446181	102.866988	117.755826	53.034432	28.550117	135.096901	132.226066	91.546172	58.070959	0	75.848498	76.076683
gene-ACTR1A	ACTR1A	100.934416	60.393503	109.017763	49.760785	105.147086	51.872774	99.632645	149.376466	52.799925	0	157.999667	165.047626
gene-ACTR1B	ACTR1B	6.987209	24.625702	37.940647	20.506263	11.784199	24.55439	48.397392	14.029924	24.330724	0	12.762805	13.459735
gene-ACTR2	ACTR2	55.744862	60.769071	170.915197	50.651039	110.658918	41.015096	124.780263	132.870692	36.438941	0	227.771587	231.141042
